"permit_number","streetname","Cross Street 1","Cross Street 2","Utility / Contractor","Permit Reason","Utility Type","Effective Date","Expiration Date","Status","cnn"
"09EXC-2016","LARKIN ST","MCALLISTER ST","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:AWSS:Curb Ramp","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","24439000"
"09EXC-2016","MCALLISTER ST","LARKIN ST","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:AWSS:Curb Ramp","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","24439000"
"09EXC-2016","HYDE ST","MCALLISTER ST","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:AWSS:Curb Ramp","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","24333000"
"09EXC-2016","MCALLISTER ST","HYDE ST","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:AWSS:Curb Ramp","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","24333000"
"09EXC-2016","CHARLES J BRENHAM PL","MCALLISTER ST","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:AWSS:Curb Ramp","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","30045000"
"09EXC-2016","MCALLISTER ST","CHARLES J BRENHAM PL","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:AWSS:Curb Ramp","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","30045000"
"09EXC-2016","LEAVENWORTH ST","MCALLISTER ST","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:AWSS:Curb Ramp","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","24324000"
"09EXC-2016","MCALLISTER ST","LEAVENWORTH ST","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:AWSS:Curb Ramp","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","24324000"
"09EXC-2016","JONES ST","MCALLISTER ST","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:AWSS:Curb Ramp","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","24325000"
"09EXC-2016","MCALLISTER ST","JONES ST","","Synergy Project Management","Reconstruct Pavement","Street / Roadway:AWSS:Curb Ramp","2009-04-06 00:00:00","2009-09-02 00:00:00","APPROVED","24325000"
